Task Name,List,Status,Priority,Tags,Story Points,Assignee,Description
"E3.2 — Diário de Bordo de Equipamentos","Epic E3 — Equipamentos e Insumos","concluído","normal","wave-1,equipamentos,pass",5,,"Registro use/maintenance/incident, contador ciclos. 6/6 ACs. QA: PASS. Corrigido: requireUnitAccess + unit_id scoping."
"E3.3 — Insumos Químicos: Cadastro e Estoque","Epic E3 — Equipamentos e Insumos","concluído","normal","wave-1,equipamentos,pass",8,,"Movimentação entrada/saída, alerta estoque mínimo, modal histórico, vínculo receita. 7/7 ACs. QA: PASS. Corrigido: unit_id scoping. Implementado: AC6 modal histórico movimentações, AC7 recipe_chemicals UI com CRUD completo."
"E4.1 — Cadastro de Clientes e Rotas Fixas","Epic E4 — Logística","concluído","normal","wave-1,logistica,pass",5,,"CRUD clientes e rotas, CPF/CNPJ validation, requireUnitAccess. 5/5 ACs. QA: PASS. Corrigido: requireUnitAccess em clients/crud."
"E4.2 — Romaneio Diário","Epic E4 — Logística","concluído","normal","wave-1,logistica,pass",5,,"Geração manual, filtro turno, print-friendly. 6/6 ACs. QA: PASS."
"E4.3 — Interface do Motorista","Epic E4 — Logística","concluído","normal","wave-1,logistica,pass",5,,"Interface mobile /driver/[manifestId], progresso rota. 5/5 ACs. QA: PASS. Corrigido: UI conectada a driver.ts, nova action completeManifest com driver-scope."
"E5.1 — Tabela de Preços e Orçamentos","Epic E5 — Comercial e CRM","concluído","normal","wave-1,comercial,pass",5,,"Preços base + especiais, orçamento draft→sent→approved→rejected. 5/5 ACs. QA: PASS. Corrigido: quote-to-order via RPC atômica (approve_quote_create_order). RLS price_table restringido: DELETE apenas para director, operator sem write."
"E5.2 — CRM e Histórico de Clientes","Epic E5 — Comercial e CRM","concluído","normal","wave-1,comercial,pass",5,,"Detalhe cliente com stats, notas atendimento. 5/5 ACs. QA: PASS. Corrigido: requireUnitAccess em listClientNotes."
"E6.1 — Contas a Receber e a Pagar","Epic E6 — Financeiro","concluído","normal","wave-1,financeiro,pass",5,,"Lançamento manual, status pending/paid/overdue. 5/5 ACs. QA: PASS."
"E6.2 — Fluxo de Caixa e DRE Simplificado","Epic E6 — Financeiro","concluído","normal","wave-1,financeiro,pass",5,,"Navegação mês/ano, DRE simplificado. 5/5 ACs. QA: PASS."
"E7.1 — Dashboard Executivo Consolidado","Epic E7 — Dashboard Executivo","concluído","normal","wave-1,dashboard,pass",5,,"Financeiro rede, alertas SLA, cards por unidade, export KPIs. 5/5 ACs. QA: PASS. Corrigido: N+1 query → batch query, export CSV otimizado."
"E7.2 — KPIs Operacionais Avançados","Epic E7 — Dashboard Executivo","concluído","normal","wave-1,dashboard,pass",5,,"Custo/kg, peças/hora, taxa ruptura, eficiência equipamento. 6/6 ACs. QA: PASS. Corrigido: N+1 queries. Implementado: AC4 equipment efficiency KPI (ciclos/equip. ativos hoje)."
"E7.3 — NPS por Unidade","Epic E7 — Dashboard Executivo","concluído","normal","wave-1,dashboard,pass",5,,"Formulário público, NPS calculation, dashboard card. 6/6 ACs. QA: PASS."
"E8.1 — Alertas Executivos e Relatórios Históricos","Epic E8 — Alertas e Relatórios","concluído","normal","wave-1,alertas,pass",5,,"Thresholds configuráveis, relatórios 7/30/90 dias. 6/6 ACs. QA: PASS. Corrigido: breakage threshold 10% → 15% conforme AC."
"[WAVE 2] JWT Hook manual no Supabase Dashboard","Backlog — Wave 2","a fazer","normal","wave-2,segurança",2,,"Configurar JWT Hook diretamente no Supabase Dashboard para custom claims nos tokens. Origem: E1.2 AC5."
"[WAVE 2] Offline queue integration UI","Backlog — Wave 2","a fazer","normal","wave-2,pwa",3,,"Integrar offline queue (IndexedDB) com interface dos setores para funcionar sem internet. Origem: E2.3 AC9."
"[WAVE 2] Seleção de equipamento nos setores","Backlog — Wave 2","a fazer","normal","wave-2,rastreio",5,,"Adicionar seleção de equipamento (lavadora/secadora) nas interfaces de setor com registro automático de início. Origem: E2.4-E2.7."
"[WAVE 2] Contadores de ciclo/turno por equipamento","Backlog — Wave 2","a fazer","normal","wave-2,rastreio",3,,"Implementar contadores automáticos de ciclo por turno por equipamento nos setores. Origem: E2.4-E2.7."
"[WAVE 2] Consumo de insumos químicos nos setores","Backlog — Wave 2","a fazer","normal","wave-2,rastreio,insumos",5,,"Registrar consumo de insumos químicos durante lavagem, com baixa automática no estoque. Origem: E2.4 AC5."
"[WAVE 2] Token de display TV sem login","Backlog — Wave 2","a fazer","baixa","wave-2,rastreio",3,,"Criar token de acesso para painel TV que não requer login de gerente. Origem: E2.8."
"[WAVE 2] Tempo médio ciclo + filtros período + trends","Backlog — Wave 2","a fazer","normal","wave-2,dashboard",5,,"Dashboard produção: tempo médio por ciclo, filtros de período customizável, indicadores de tendência. Origem: E2.9."
"[WAVE 2] Validação unique recipe+type","Backlog — Wave 2","a fazer","baixa","wave-2,equipamentos",2,,"Adicionar constraint unique no banco + validação UI para receita+tipo de peça. Origem: E3.1 AC7."
"[DONE] Corrigir cross-tenant mutation risks","Correções de Segurança","concluído","urgente","fix,segurança,done",5,,"CORRIGIDO: unit_id scoping adicionado em equipment/crud, equipment/logs, recipes/crud, chemicals/crud, routes/crud. Commit 527c8e9."
"[DONE] Corrigir role authorization mismatches","Correções de Segurança","concluído","alta","fix,segurança,done",3,,"CORRIGIDO: requireRole → requireUnitAccess em clients/crud, equipment/logs, crm/notes. Driver UI conectado a driver.ts. Commits 527c8e9 + dee12c5."
"[DONE] Otimizar N+1 queries","Correções de Performance","concluído","normal","fix,performance,done",3,,"CORRIGIDO: getNetworkSlaAlerts batch, exportNetworkKpisCsv batch, getNetworkCostPerKg paralelo, Map lookups. Commit 527c8e9."
"[DONE] E3.3 AC6+AC7 — Modal histórico + recipe chemicals","Correções Wave 1","concluído","normal","fix,wave-1,done",3,,"IMPLEMENTADO: Modal histórico de movimentações (ChemicalMovementHistory dialog), CRUD recipe_chemicals com UI (RecipeChemicalsSection), botão 'Ver histórico' e 'Insumos' nas respectivas listas."
"[DONE] E5.1 — Quote-to-order transacional + RLS review","Correções Wave 1","concluído","normal","fix,wave-1,done",3,,"IMPLEMENTADO: RPC atômica approve_quote_create_order (migration 028). RLS price_table: removido FOR ALL operator/manager, restringido a INSERT/UPDATE para manager apenas. DELETE só para director."
"[DONE] E7.2 AC4 — Equipment efficiency KPI","Correções Wave 1","concluído","normal","fix,wave-1,done",3,,"IMPLEMENTADO: getNetworkEquipmentEfficiency — ciclos/equipamento ativo hoje. Novo card no KpiAdvancedGrid com total ciclos e contagem de equipamentos ativos."
